Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
TOI-892 b,TOI-892,10.62656,11.99363,301.9385,1397,0.092,0.125,6261,1.39,1.28
TOI-3486 b,TOI-3486,2.21778105,10.5700688,99.16246298,1190,0.03138,0.078,4930,0.788,0.837
NGTS-2 b,NGTS-2,4.511164,17.878355,235.1942,1468,0.063,0,6478,1.702,1.64
WASP-192 b,WASP-192,2.8786765,13.78707,731.009,1620,0.0408,0,5910,1.32,1.09
K2-32 e,K2-32,4.34934,1.212,2.1,1066,0.04899,0.043,5271,0.86,0.83
WASP-53 b,WASP-53,3.3098443,12.038466,677.61356,1053,0.04101,0.03,4953,0.798,0.839
HAT-P-63 b,HAT-P-63,3.377728,12.5428494,195.1466419,1237,0.04294,0.069,5400,0.9661,0.925
TOI-5181 A b,TOI-5181 A,3.8922295,13.34989601,330.5415433,1585,0.0522,0.15,6060,1.53,1.25
Kepler-323 b,Kepler-323,1.678328,1.381,3.9,1838,0.02778,0.095,6004,1.12,1.015
EPIC 220674823 b,EPIC 220674823,0.571292,1.725,8.21,2300,0.01326,0,5532,0.988,0.95
CoRoT-9 b,CoRoT-9,95.272656,11.948794,266.9772,420,0.4021,0.133,5625,0.96,0.96
Kepler-427 b,Kepler-427,10.290994,13.79,92.17,1100,0.091,0.57,5800,1.35,0.96
KOI-4777.01,KOI-4777,0.412,0.51,99.2,1180,0.008,0,3515,0.4,0.41
TOI-1749 b,TOI-1749,2.38839,1.39,57,831,0.0291,0.14,3985,0.55,0.58
KOI-94 c,KOI-94,10.423648,4.32,15.6,1012,0.1013,0.43,6182,1.52,1.277
Kepler-87 b,Kepler-87,114.73635,13.49,324.2,478,0.481,0.036,5600,1.82,1.1
HD 63935 c,HD 63935,21.4027,3.06451296,11.1,619.59,0.148,0,5513,0.9598,0.9406
TOI-1670 b,TOI-1670,10.98462,2.06,41.31769291,1062,0.103,0.59,6170,1.316,1.21
HD 18599 b,HD 18599,4.137437,2.7,25.5,863,0.05,0.2,5083,0.798,0.807
TOI-2969 b,TOI-2969,1.8237146,12.32987877,368.6809521,1186,0.0261,0,4738,0.7,0.71
K2-233 b,K2-233,2.4675,1.343,11.26,1121,0.03308,0.079,5033,0.71,0.79
TOI-5261 b,TOI-5261,4.1509768,11.60129502,3651.848396,1244,0.05134,0.1585,5790,1.021,1.037
HATS-23 b,HATS-23,2.1605156,20.84874,467.2101,1654,0.03397,0.114,5780,1.199,1.121
Kepler-22 b,Kepler-22,289.863876,2.1,9.1,279,0.812,0.72,5596,0.869,0.857
K2-280 b,K2-280,19.89526,7.5,37.1,787,0.1461,0.35,5500,1.28,1.03
CoRoT-26 b,CoRoT-26,4.20474,14.12,165.26,1600,0.0526,0,5590,1.79,1.09
