Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
Kepler-107 e,Kepler-107,14.749143,2.903,8.6,955,0.12639,0,5854,1.447,1.238
CoRoT-14 b,CoRoT-14,1.51214,12.22,2415.4,1952,0.027,0,6035,1.21,1.13
Kepler-4 b,Kepler-4,3.21346,4.002,24.472,1650,0.0456,0,5857,1.487,1.223
WASP-129 b,WASP-129,5.748145,10.42437,317.83,1100,0.0628,0.096,5900,0.9,1
TOI-5344 b,TOI-5344,3.792622,9.7,135,679,0.04,0.06,3770,0.563,0.59
HD 73583 b,HD 73583,6.3980661,2.84,15.9,742.7,0.05995,0.294,4582,0.677,0.702
TOI-1416 b,TOI-1416,1.0697568,1.62,3.48,1517,0.019,0,4884,0.793,0.798
TOI-4465 b,TOI-4465,101.94054,14.01122587,1872.009317,427,0.416,0.24,5545,1.014,0.93
TOI-1842 b,TOI-1842,9.5739181,12.3485023,89.4,1199.55,0.1,0.276,6039,2.032,1.4643
TOI-333 b,TOI-333,3.7852503,4.26,20.1,1445,0.049,0,6241,1.1,1.2
TOI-5817 b,TOI-5817,15.61031,3.08,10.3,950,0.1223,0.2,5770,1.427,0.97
KELT-15 b,KELT-15,3.329441,16.174587,289.2253,1642,0.04613,0,6003,1.481,1.181
K2-32 d,K2-32,31.7154,3.43,10.3,537,0.1862,0,5275,0.845,0.856
NGTS-11 b,NGTS-11,35.45533,9.157753,109.33352,435,0.201,0.13,5050,0.832,0.862
TOI-421 b,TOI-421,5.197576,2.64,6.7,922,0.0554,0.13,5291,0.866,0.833
TOI-1670 c,TOI-1670,40.74976,11.06326395,200.2318964,684,0.249,0.09,6170,1.316,1.21
TOI-286 c,TOI-286,39.361826,1.88,3.72,475,0.213,0,5152,0.78,0.832
TOI-1260 c,TOI-1260,7.49325,2.82,11.8,643,0.0656,0,4227,0.65,0.66
HATS-75 b,HATS-75,2.7886556,9.90873894,156.0537478,772.3,0.032742,0.064,3790.4,0.5848,0.6017
HD 35843 c,HD 35843,46.9622,2.54,11.32,479,0.25,0.153,5666,0.897,0.94
HAT-P-50 b,HAT-P-50,3.1220109,14.437192,429.0705,1862,0.0453,0.115,6280,1.698,1.273
Kepler-167 e,Kepler-167,1071.23205,10.16,321.0066911,134.4,1.883,0.29,4884,0.749,0.777
WASP-92 b,WASP-92,2.1746742,16.376349,255.85315,1871,0.0348,0,6280,1.341,1.19
TOI-5350 b,TOI-5350,7.581367,12.41955062,2094.489202,1195,0.0796,0.0165,6220,1.263,1.167
TOI-125 d,TOI-125,19.98,2.93,13.6,638.1,0.137,0.168,5320,0.848,0.859
TOI-1749 c,TOI-1749,4.4929,2.12,14,673,0.0443,0.019,3985,0.55,0.58
NGTS-33 b,NGTS-33,2.827972,18.38272835,1153.717117,1991,0.048,0,7437,1.47,1.6
K2-34 b,K2-34,2.995629,15.434793,539.67534,1715,0.0465,0.054,6149,1.58,1.226
TOI-3819 b,TOI-3819,3.2443141,13.13692538,352.7895318,1633,0.04611,0,5859,1.538,1.242
HATS-14 b,HATS-14,2.7667641,11.646151,340.39593,1276,0.03815,0.142,5346,0.933,0.967
TOI-2374 b,TOI-2374,4.31361,6.81,56.64,885,0.0471,0.13,4802,0.69,0.75
K2-182 b,K2-182,4.7369683,2.69,20,969,0.0526,0.04,5170,0.793,0.865
HD 219666 b,HD 219666,6.03607,4.71,16.6,1073,0.06356,0,5527,1.03,0.92
LTT 3780 c,LTT 3780,12.252284,2.39,8.04,359,0.0757,0.024,3358,0.38,0.381
TOI-3976 A b,TOI-3976 A,6.607662,12.27383387,55.61997123,1295,0.0743,0,5975,1.501,1.254
HD 213885 b,HD 213885,1.008035,1.745,8.83,2128,0.02012,0,5978,1.1011,1.068
K2-238 b,K2-238,3.20466,14.5717,273.3338,1587,0.046,0,5630,1.59,1.19
TOI-4961 b,TOI-4961,7.479182,12.34108775,572.0911326,919,0.0726,0.182,5380,0.912,0.912
TOI-2416 b,TOI-2416,8.275479,9.86390302,953.485221,1080,0.0831,0.32,5808,1.236,1.118
WASP-132 b,WASP-132,7.133521,9.75183,130.3103,763,0.067,0,4775,0.74,0.8
TOI-2338 b,TOI-2338,22.65398,11.2089807,1900.613874,799,0.158,0.676,5581,1.05,0.99
WASP-147 b,WASP-147,4.60273,12.498035,87.40325,1404,0.0549,0,5702,1.429,1.044
TOI-3593 b,TOI-3593,3.8212867,11.02963701,565.7345645,1170,0.0481,0.105,5550,0.918,1.015
LHS 1140 c,LHS 1140,3.77792,1.169,1.76,708.9,0.02734,0.274,2988,0.2134,0.191
HATS-4 b,HATS-4,2.516729,11.433,420.471,1315,0.0362,0.013,5403,0.925,1.001
TOI-3682 b,TOI-3682,3.3462406,12.80065596,69.28659273,1657,0.048,0.22,5703,1.735,1.32
TOI-406 c,TOI-406,3.307441,1.32,2.08,584,0.0322,0.032,3392,0.41,0.408
BD-14 3065 b,BD-14 3065 A,4.2889731,21.59,3932,2001,0.0656,0.066,6935,2.35,1.41
Kepler-435 b,Kepler-435,8.6001536,22.31,266.97,1729,0.0948,0.114,6161,3.21,1.538
TOI-1136 f,TOI-1136,26.317822,3.73591482,32,598.11,0.175,0,5805,0.9573,1.0404
TOI-1472 c,TOI-1472,15.5381747,3.334,21.13,662,0.116,0.172,5100,0.84,0.87
KELT-18 b,KELT-18,2.8717518,17.59813,375.0394,2085,0.0455,0,6670,1.908,1.524
HATS-51 b,HATS-51,3.3488702,15.80469,244.09344,1553,0.04639,0.33,5758,1.44,1.187
WASP-83 b,WASP-83,4.971252,11.65736,95.349,1120,0.059,0,5510,1.05,1.11
EPIC 211945201 b,EPIC 211945201,19.49213,6.12,27,886.35,0.148,0,6025,1.38,1.18
K2-27 b,K2-27,6.771315,4.48,30.9,902,0.06702,0.251,5248,0.885,0.866
HD 1397 b,HD 1397,11.53533,11.500434,131.89945,1228.3,0.1097,0.251,5521,2.336,1.324
TOI-2458 b,TOI-2458,3.73659,2.83,13.31,1509.4,0.0482,0.087,6005,1.31,1.05
WASP-88 b,WASP-88,4.954,19.055,177.98,1772,0.06431,0,6431,2.08,1.45
TOI-3321 b,TOI-3321,3.6525145,15.55806521,176.0769375,1616,0.047,0.054,5850,1.549,1.041
HD 77946 b,HD 77946,6.527363,2.89646124,10.9,1128.86,0.073,0.211,6007,1.3174,1.1973
GJ 9827 d,GJ 9827,6.20147,2.022,3.53,681,0.0559,0.13,4305,0.602,0.606
K2-99 b,K2-99,18.24783,11.88151954,276.5107141,1184,0.153,0.22,6069,2.55,1.44
Kepler-36 b,Kepler-36,13.83989,1.486,4.45,978,0.1153,0.039,5911,1.626,1.071
TOI-1448 b,TOI-1448,8.112245,2.749,19.5,426,0.0567,0.36,3412,0.38,0.372
HATS-67 b,HATS-67,1.6091788,18.887165,460.8535,2193,0.03032,0.057,6594,1.441,1.435
TOI-6692 b,TOI-6692,131.125,11.67975789,197.0536123,467,0.512,0.537,5890,1.385,1.047
TIC 237913194 b,TIC 237913194,15.168865,12.520453,617.22586,974,0.1207,0.575,5788,1.088,1.026
TOI-1268 b,TOI-1268,8.1577094,9.1,96.4,918.9,0.0711,0.105,5300,0.92,0.96
HATS-7 b,HATS-7,3.185315,6.310667,38.1396,1084,0.04012,0.17,4985,0.815,0.849
XO-7 b,XO-7,2.8641424,15.389957,225.34147,1743,0.04421,0.038,6250,1.48,1.405
TOI-1184 b,TOI-1184,5.748432,2.40974309,6.8,715.47,0.056,0,4617,0.6972,0.7271
GJ 486 b,GJ 486,1.467119,1.305,2.82,701,0.01734,0.05,3340,0.328,0.323
TOI-2803 A b,TOI-2803 A,1.96229325,18.11371281,309.8826968,1893,0.03185,0,6280,1.245,1.118
K2-110 b,K2-110,13.86375,2.592,15.9,638,0.10207,0.13,5010,0.713,0.738
WASP-119 b,WASP-119,2.49979,15.6926,390.9309,1600,0.0363,0.058,5650,1.2,1.02
Kepler-102 d,Kepler-102,10.311767,1.154,3,686,0.08618,0.092,4909,0.724,0.803
K2-285 c,K2-285,7.138048,3.53,15.68,741.4,0.0824,0,4975,0.787,0.83
Kepler-7 b,Kepler-7,4.885525,16.567,137.615,1540,0.06224,0,5933,1.843,1.347
Kepler-1656 b,Kepler-1656,31.578659,5.02,48.6,651,0.197,0.836,5731,1.1,1.03
Kepler-37 c,Kepler-37,21.301848,0.755,1.3,615,0.139,0.099,5357,0.789,0.79
HATS-47 b,HATS-47,3.9228038,12.520453,117.27927,852.9,0.04269,0.088,4512,0.6564,0.674
HATS-39 b,HATS-39,4.5776348,17.59813,200.2329,1645,0.06007,0.275,6572,1.621,1.379
TOI-1431 b,TOI-1431,2.650237,16.70138124,991.6246298,2370,0.046,0.0022,7690,1.92,1.9
TOI-5322 b,TOI-5322,5.4233207,16.6117094,184.0226477,1350,0.0604,0.055,5692,1.462,0.998
TOI-2587 A b,TOI-2587 A,5.45664,12.07207221,69.28659273,1445,0.0635,0,5760,1.726,1.15
TOI-3540 A b,TOI-3540 A,3.119999,23.53885947,375.0375203,1498,0.04289,0,5810,1.228,1.081
WASP-90 b,WASP-90,3.916243,18.27067,200.2329,1840,0.0562,0,6430,1.98,1.55
GPX-1 b,GPX-1,1.744579,16.47720163,6261.219618,2300,0.0338,0,7000,1.56,1.68
HATS-41 b,HATS-41,4.193649,14.90797,3082.951,1710,0.0583,0.38,6424,1.71,1.496
Kepler-102 f,Kepler-102,27.453592,0.861,4.3,495,0.1656,0.1,4909,0.724,0.803
K2-266 e,K2-266,19.482,2.73,14.3,490.1,0.1249,0.043,4285,0.703,0.686
CoRoT-13 b,CoRoT-13,4.03519,9.92,415.704,1700,0.051,0,5945,1.01,1.09
HAT-P-59 b,HAT-P-59,4.1419771,12.58768533,489.4557468,1277.8,0.05064,0.03,5678,1.1038,1.008
TOI-1333 b,TOI-1333,4.720219,15.647764,753.2571,1679,0.0626,0.073,6274,1.925,1.464
TOI-2322 c,TOI-2322,20.225528,1.874,18.1,496.8,0.1362,0,4664,0.662,0.703
TOI-4438 b,TOI-4438,7.44628,2.52,5.4,435,0.0534,0.14,3422,0.372,0.368
HD 93963 A c,HD 93963 A,3.6451389,3.11976057,18.4,1212.45,0.04726,0,5908,1.0311,1.0844
WASP-166 b,WASP-166,5.44354,7.06167,32.10083,1270,0.0641,0,6050,1.22,1.19
TRAPPIST-1 f,TRAPPIST-1,9.20669,1.045,0.68,219,0.0371,0.063,2559,0.117,0.0802
WASP-165 b,WASP-165,3.465509,14.12334,209.13214,1624,0.04823,0,5599,1.75,1.248
TOI-615 b,TOI-615,4.6615983,18.97680433,138.2553571,1666,0.0678,0.39,6850,1.732,1.449
TOI-4010 c,TOI-4010,5.414654,5.93,20.31,907,0.058,0.03,4960,0.83,0.88
HAT-P-11 b,HAT-P-11,4.8878162,4.73,25.743,878,0.053,0.198,4780,0.75,0.81
Kepler-138 c,Kepler-138,13.7815,1.51,2.3,410,0.0913,0.017,3841,0.535,0.535
Kepler-20 e,Kepler-20,6.0984882,0.821,0.76,1004,0.0637,0.092,5495,0.9164,0.929
Kepler-1704 b,Kepler-1704,988.88112,11.94877343,1322.166173,253.8,2.027,0.92,5746,1.697,1.132
HATS-22 b,HATS-22,4.7228124,10.682177,870.8542,858,0.05025,0.079,4803,0.689,0.759
TOI-4487 A b,TOI-4487 A,3.9540709,14.60530185,397.2855088,1639,0.05448,0.083,6206,1.634,1.378
HATS-72 b,HATS-72,7.3279474,8.0973816,39.855882,739.3,0.066517,0.013,4656.1,0.7214,0.7311
HAT-P-31 b,HAT-P-31,5.005425,11.99,689.98,1450,0.055,0.245,6065,1.36,1.218
WASP-145 A b,WASP-145 A,1.7690381,10.0881,282.8687,1200,0.0261,0,4900,0.68,0.76
TOI-2589 b,TOI-2589,61.6277,12.10569916,1112.399425,592,0.3,0.522,5579,1.07,0.93
K2-137 b,K2-137,0.179715,0.89,158.915,1471,0.0058,0,3492,0.442,0.463
TOI-2136 b,TOI-2136,7.85191,2.09,15,403,0.054,0,3366,0.335,0.34
TOI-3261 b,TOI-3261,0.8831331,3.82,30.3,1722,0.01714,0,5068,0.849,0.861
WASP-18 b,WASP-18,0.94145223,13.89913607,3241.849751,2429,0.02024,0.0051,6432,1.319,1.294
WASP-121 b,WASP-121,1.2749255,20.904785,375.99289,2358,0.02544,0,6459,1.458,1.353
TOI-677 b,TOI-677,11.2366,13.11453,392.83788,1252,0.1038,0.435,6295,1.28,1.181
TOI-1199 b,TOI-1199,3.671463,10.5140239,75.96098927,1486,0.04988,0.03,5710,1.45,1.23
WASP-49 b,WASP-49,2.7817362,13.428382,126.81417,1400,0.03873,0,5600,1.038,1.003
KELT-6 b,KELT-6,7.8457,13.372,136.661,1313,0.07939,0.22,6102,1.58,1.085
HD 28109 d,HD 28109,84.25999,3.25,5.681,506.5,0.411,0.0864,6120,1.446,1.26
TOI-1244 b,TOI-1244,6.4003,2.37611439,6.6,714.86,0.061,0,4722,0.7231,0.7528
NGTS-35 b,NGTS-35,25.241192,10.9,152,451,0.16,0.192,4717,0.753,0.789
TOI-7510 c,TOI-7510,22.5687423,10.81,131,702,0.1595,0.0091,5720,1.035,1.063
HAT-P-16 b,HAT-P-16,2.77596,14.448,1332.605,1626,0.0413,0.036,6158,1.237,1.218
TrES-4 b,TrES-4,3.55392771,20.602142,157.00802,1795,0.0516,0.016,6295,1.81,1.45
WASP-159 b,WASP-159,3.840401,15.46842,174.8065,1850,0.0538,0,6120,2.11,1.41
HD 63433 c,HD 63433,20.543847,2.58229101,17.2,622.31,0.146,0,5634,0.9169,0.9883
WASP-7 b,WASP-7,4.954658,10.256235,305.1168,1379,0.0618,0,6400,1.236,1.28
WASP-48 b,WASP-48,2.14363544,15.65,288,1956,0.0332,0,6000,1.519,1.062
WASP-101 b,WASP-101,3.585722,15.8,158.91,1560,0.0506,0,6400,1.29,1.34
TOI-329 b,TOI-329,5.70439,4.94057819,40.4,1213.02,0.0638,0.39,5614,1.5326,1.0678
TOI-1260 b,TOI-1260,3.12748,2.34,8.6,860,0.0366,0,4227,0.65,0.66
WASP-26 b,WASP-26,2.7566,14.79585452,324.1849751,1660,0.04,0,5950,1.34,1.12
K2-29 b,K2-29,3.2588321,13.33871,232.0159,1171,0.04217,0.066,5358,0.86,0.94
WASP-41 b,WASP-41,3.052404,13.22662,298.7602,1244,0.04,0.026,5545,0.87,0.93
TOI-1723 b,TOI-1723,13.72641,3.29206019,10.4,782.98,0.114,0,5743,1.0855,1.0378
TOI-771 b,TOI-771,2.3260155,1.36,2.47,543,0.0208,0.055,3370,0.232,0.22
NGTS-20 b,NGTS-20,54.18915,11.99360935,947.1286529,688,0.313,0.432,5980,1.78,1.47
TOI-2152 A b,TOI-2152,3.3773512,14.35870428,899.4543918,1802,0.05064,0.057,6630,1.612,1.516
TOI-3693 b,TOI-3693,9.088516,12.59889431,324.1849751,801,0.0813,0,5321,0.791,0.867
TOI-6054.02,TOI-6054,12.563636,2.82,9.3,1143,0.1079,0.332,6047,1.662,1.107
TOI-6420 b,TOI-6420,6.961508,11.93756445,2606.192937,1213,0.0753,0.078,6020,1.312,1.165
TOI-558 b,TOI-558,14.574071,12.17295304,1147.360549,1061,0.1291,0.298,6466,1.496,1.349
CoRoT-19 b,CoRoT-19,3.89713,14.46,352.78,2000,0.0518,0.047,6090,1.65,1.21
TOI-5386 A b,TOI-5386 A,3.62156552,14.70618268,155.1002626,1488,0.04856,0.072,6094,1.245,1.165
TOI-201 b,TOI-201,52.97818,11.298672,133.4886,759,0.3,0.28,6394,1.317,1.316
HD 63935 b,HD 63935,9.058807,2.91575244,10.5,825.22,0.083,0,5513,0.9598,0.9406
HD 235088 b,HD 235088,7.434151,2.07506422,4.2,753.95,0.071,0,5087,0.7984,0.8531
HD 6061 b,HD 6061,5.254467,2.45,10.8,1194,0.059,0,5920,1.03,1
TOI-2379 b,TOI-2379,5.4693827,11.72459381,1830.691624,624,0.05263,0.342,3707,0.622,0.645
HD 207897 b,HD 207897,16.20166,2.34302132,14.8,581.75,0.117,0,5106,0.7827,0.8208
TOI-1728 b,TOI-1728,3.49151,5.05,26.78,767,0.0391,0.057,3980,0.6243,0.646
HATS-58 A b,HATS-58 A,4.2180896,12.273855,327.3649,1721,0.05798,0.168,7175,1.433,1.461
TOI-2714 b,TOI-2714,2.499387,13.72,228,1603,0.036,0.164,5665,1.25,1.07
TOI-7149 b,TOI-7149,2.65206166,13.2,224,593,0.02603,0.078,3363,0.351,0.344
Kepler-19 b,Kepler-19,9.28699,2.209,6.1,851,0.0846,0.41,5541,0.859,0.936
WASP-118 b,WASP-118,4.0460435,16.14096,163.36462,1729,0.05453,0,6410,1.696,1.32
WASP-173 A b,WASP-173 A,1.3866529,14.403565,1102.8701,1842,0.02508,0,5767,1.099,1.092
TOI-3884 b,TOI-3884,4.5445828,6.43,32.59,441,0.0361,0.06,3180,0.302,0.298
TOI-3984 A b,TOI-3984 A,4.353326,7.9,44,563,0.041,0.23,3476,0.47,0.49
TOI-2107 b,TOI-2107,2.4545467,13.57407563,263.7975778,1397,0.03515,0.033,5627,0.932,0.961
TOI-269 b,TOI-269,3.6977104,2.77,8.8,531,0.0345,0.425,3514,0.398,0.3917
Kepler-109 b,Kepler-109,6.4816307,2.49,4.9,1276,0.0701,0.11,5950,1.387,1.094
HIP 94235 b,HIP 94235,7.713057,3,379,1060,0.0787,0.32,5991,1.08,1.094
Qatar-7 b,Qatar-7,2.032046,19.0553,597.5204,2053,0.0352,0,6387,1.564,1.409
WASP-142 b,WASP-142,2.052868,17.14977,266.9772,2000,0.0347,0,6010,1.64,1.33
WASP-185 b,WASP-185,9.38755,14.01125,311.4734,1160,0.0904,0.24,5900,1.5,1.12
HATS-2 b,HATS-2,1.354133,13.092,427.463,1577,0.023,0,5227,0.898,0.882
HD 260655 b,HD 260655,2.76953,1.24,2.14,709,0.02933,0.039,3803,0.439,0.439
TOI-1853 b,TOI-1853,1.2436258,3.46,73.2,1479,0.0213,0.03,4985,0.808,0.837
TOI-4087 b,TOI-4087,3.1774835,13.04725353,232.0147371,1458,0.04469,0,6060,1.112,1.178
TOI-2382 b,TOI-2382,4.6612061,12.25141591,235.1930212,1426,0.059,0.18,6033,1.417,1.26
HATS-59 b,HATS-59,5.416081,12.621334,256.17098,1128,0.06112,0.129,5670,1.036,1.038
TOI-2095 b,TOI-2095,17.66484,1.25,4.1,347,0.101,0,3759,0.44,0.44
TOI-1295 b,TOI-1295,3.1968838,15.69257298,451.3163379,2360,0.047,0.024,6280,1.7,1.38
TOI-2322 b,TOI-2322,11.30717,0.994,2.31,603.1,0.0924,0,4664,0.662,0.703
HD 80653 b,HD 80653,0.719573,1.613,5.72,2463,0.01661,0,5959,1.22,1.18
TOI-1794 b,TOI-1794,8.765528,3.29701268,8.7,992.91,0.082,0,5631,1.3162,0.9698
WASP-89 b,WASP-89,3.3564227,11.65736,1875.197,1120,0.0427,0.193,5130,0.88,0.92
TOI-2010 b,TOI-2010,141.834025,11.81426566,408.7273314,400.2,0.5516,0.212,5929,1.079,1.112
Qatar-8 b,Qatar-8,3.71495,14.403565,117.91493,1457,0.0474,0,5738,1.315,1.029
TOI-3288 b,TOI-3288,1.4338635,11.2089807,670.6179388,1059,0.0215,0,3933,0.67,0.64
pi Men c,HD 39091,6.2679,2.042,4.82,1169.8,0.06839,0,6037,1.1,1.094
TOI-4994 b,TOI-4994,21.491984,8.54124329,88.99195396,717.6,0.1515,0.319,5640,1.055,1.005
TOI-3135 b,TOI-3135,3.7065585,13.65253849,327.3632592,1292,0.04756,0.24,5890,0.985,1.044
TOI-1136 d,TOI-1136,12.51861,4.62115423,12.3,766.21,0.107,0,5805,0.9573,1.0404
WASP-81 b,WASP-81,2.7164762,16.017661,231.69807,1623,0.03908,0.066,5870,1.283,1.08
K2-108 b,K2-108,4.73401,5.28,59.4,1446,0.0573,0.18,5474,1.75,1.121
TOI-2992 b,TOI-2992,3.007812,13.75341932,1058.368595,1726,0.0434,0.089,6000,1.545,1.21
HAT-P-21 b,HAT-P-21,4.124481,11.478,1291.289,1283,0.0494,0.228,5588,1.105,0.947
HATS-55 b,HATS-55,4.2042001,14.022459,292.72143,1367,0.05412,0.092,6214,1.126,1.1955
WASP-56 b,WASP-56,4.617101,12.24,181.473,1216,0.05458,0,5600,1.112,1.017
KOI-94 d,KOI-94,22.342989,11.27,106,806,0.1684,0.022,6182,1.52,1.277
HATS-44 b,HATS-44,2.7439004,11.960003,177.9848,1161,0.03649,0.279,5080,0.847,0.86
WASP-120 b,WASP-120,3.6112706,16.510857,1541.4755,1880,0.0514,0.057,6450,1.87,1.393
HAT-P-25 b,HAT-P-25,3.652836,13.339,180.202,1202,0.0466,0.032,5500,0.959,1.01
WASP-197 b,WASP-197,5.167228,14.44837612,403.3242485,1665,0.065,0,6050,2.112,1.36
WASP-58 b,WASP-58,5.01718,15.36,282.86,1270,0.0561,0,5800,1.17,0.94
TOI-238 b,TOI-238,1.2730991,1.402,3.4,1311,0.02118,0.18,5059,0.733,0.79
HD 17156 b,HD 17156,21.2164294,12.26262489,1036.120607,888,0.1632,0.6772,6046,1.517,1.285
WASP-22 b,WASP-22,3.53269,12.55408,177.9848,1430,0.0468,0.023,6000,1.13,1.1
Kepler-1514 b,Kepler-1514,217.83184,12.419572,1678.1424,387.9,0.753,0.401,6145,1.289,1.196
TOI-5573 b,TOI-5573,8.79758977,9.75,112,528,0.0712,0.072,3790,0.594,0.619
HATS-10 b,HATS-10,3.312846,10.861521,167.17858,1407,0.04491,0.501,5880,1.105,1.101
TOI-1799 b,TOI-1799,7.085738,1.42238884,4,922.72,0.071,0,5698,0.9536,0.9406
TOI-5542 b,TOI-5542,75.12375,11.30986153,419.5334972,441,0.332,0.018,5700,1.058,0.89
HAT-P-35 b,HAT-P-35,3.646706,14.93,334.979,1581,0.0498,0.025,6096,1.435,1.236
TOI-782 b,TOI-782,8.0240015,2.734,19.1,435,0.0578,0.19,3370,0.413,0.397
NGTS-27 b,NGTS-27,3.3704181,15.64773706,188.4722454,1783,0.0446,0,5700,1.77,1.07
TOI-763 b,TOI-763,5.6057,2.28,9.79,1038,0.06,0.04,5450,0.897,0.917
TOI-3980 b,TOI-3980,3.6089254,14.4595851,187.5187601,1621,0.0494,0.16,5840,1.626,1.24
TOI-628 b,TOI-628,3.4095675,11.88154,2011.8639,1586,0.0486,0.072,6250,1.345,1.311
TOI-2796 b,TOI-2796,4.8084983,17.26183028,139.8444991,1205,0.0569,0,5764,1.069,1.063
TOI-332 b,TOI-332,0.777038,3.2,57.2,1871,0.0159,0,5251,0.87,0.88
Kepler-102 b,Kepler-102,5.286965,0.46,1.1,857,0.05521,0.1,4909,0.724,0.803
WASP-188 b,WASP-188,5.748916,14.81827249,458.6263913,1666,0.072,0,6850,1.83,1.5
WTS-2 b,WTS-2,1.0187068,15.277867,355.9696,2000,0.01855,0,5000,0.752,0.82
TOI-1136 b,TOI-1136,4.17278,1.9,31,1216,0.0514,0,5805,0.9573,1.0404
K2-60 b,K2-60,3.00265,7.655747,135.39558,1400,0.045,0,5500,1.12,0.97
TOI-5789 c,TOI-5789,12.927748,2.86,5,718,0.1009,0.067,5185,0.833,0.821
HATS-46 b,HATS-46,4.7423729,10.121727,54.98459,1054,0.05367,0.559,5495,0.853,0.917
TOI-5688 A b,TOI-5688 A,2.94815527,10.3,124,742,0.03379,0.128,3713,0.57,0.6
TOI-1438 c,TOI-1438,9.428089,2.75,10.6,794,0.083,0,5230,0.82,0.876
HAT-P-64 b,HAT-P-64,4.007232,19.08889413,184.3404761,1766,0.05387,0.101,6457,1.735,1.298
WASP-105 b,WASP-105,7.87288,10.76064,572.094,900,0.075,0,5070,0.9,0.89
K2-25 b,K2-25,3.48456408,3.44,24.5,494,0.0287,0.428,3207,0.2932,0.2634
TOI-5300 b,TOI-5300,2.262196,9.86390302,190.6970442,1043,0.0295,0,4610,0.65,0.67
TOI-5210 b,TOI-5210,4.5661061,10.72699453,81.99972901,1286,0.0557,0.066,5723,1.209,1.105
TOI-1279 b,TOI-1279,9.61419,2.66146528,10.6,759,0.085,0,5457,0.8426,0.8784
TOI-5592 b,TOI-5592,2.6085846,17.14974047,285.7277379,1789,0.03935,0.062,6237,1.393,1.194
TOI-1758 b,TOI-1758,20.705127,3.5573684,6.9,551.44,0.138,0,5151,0.8155,0.8253
TOI-216.01,TOI-216,34.556,11.29,200,497,0.2069,0.029,5026,0.838,0.874
HATS-32 b,HATS-32,2.8126548,14.000041,292.4036,1437,0.04024,0.471,5700,1.097,1.099
TOI-2180 b,TOI-2180,260.79,11.32107051,875.6172613,348,0.828,0.3683,5695,1.636,1.111
TOI-2193 A b,TOI-2193 A,2.1225735,19.83989584,298.7587026,1763,0.03319,0,5966,1.248,1.082
HD 136352 b,HD 136352,11.57779,1.482,4.62,911,0.0969,0.079,5850,1.012,0.906
HD 219134 d,HD 219134,46.859,1.61,16.17,410.5,0.237,0.138,4699,0.778,0.81
TOI-3071 b,TOI-3071,1.266938,7.16,68.2,2155,0.0249,0.09,6177,1.31,1.29
TOI-3023 b,TOI-3023,3.9014971,16.43236571,197.0536123,1596,0.0505,0,5760,1.668,1.12
TOI-3464 b,TOI-3464,3.6515568,13.7646283,397.2855088,1693,0.0515,0.25,6370,1.56,1.363
HD 136352 d,HD 136352,107.245,2.562,8.82,431,0.425,0,5664,1.058,0.87
55 Cnc e,55 Cnc,0.7365437,2.08,7.81,1958,0.01544,0.061,5234,0.943,0.905
WASP-98 b,WASP-98,2.96264,12.33,263.79,1180,0.036,0,5525,0.7,0.69
WASP-156 b,WASP-156,3.836169,5.71659,40.68224,970,0.0453,0.007,4910,0.76,0.842
TOI-1437 b,TOI-1437,18.84078,2.43471042,10.4,794.23,0.139,0,5986,1.2589,1.012
HATS-56 b,HATS-56,4.324799,18.920792,191.33366,1902,0.06043,0.019,6536,2.201,1.573
HD 86226 c,HD 86226,3.98442,2.16,7.25,1311,0.049,0.075,5863,1.053,1.019
TOI-2842 b,TOI-2842,3.5514058,12.84549188,117.5965106,1471,0.0475,0,5910,1.265,1.135
TOI-5340 b,TOI-5340,4.9394392,15.07607904,270.154146,1566,0.0628,0.13,5990,1.842,1.35
TOI-5218 b,TOI-5218,4.291452,9.86,657,783,0.0469,0,4230,0.708,0.739
WASP-176 b,WASP-176,3.899052,16.869545,271.74465,1721,0.0535,0,5941,1.925,1.345
HATS-57 b,HATS-57,2.350621,12.767051,1000.21101,1413.4,0.03493,0.028,5587,0.96,1.026
WASP-158 b,WASP-158,3.656333,11.99363,886.7457,1590,0.0517,0,6350,1.39,1.38
TOI-544 b,TOI-544,1.548352,2.018,2.89,999,0.0225,0,4169,0.623,0.631
KELT-23 A b,KELT-23 A,2.255251,14.829507,298.12454,1561,0.03302,0,5899,0.996,0.944
WASP-144 b,WASP-144,2.2783152,9.52765,139.8452,1260,0.0316,0,5200,0.81,0.81
TOI-1231 b,TOI-1231,24.245586,3.65,15.4,329.6,0.1288,0.087,3553,0.476,0.485
Kepler-40 b,Kepler-40,6.87349,13.11,699.2,1620,0.08,0,6510,2.13,1.48
HR 858 d,HR 858,11.230511,2.001,7.1,1061,0.1046,0,6354,1.258,1.204
TOI-257 b,TOI-257,18.38818,7.16253867,43.86032017,1027,0.1528,0,6095,1.867,1.407
HAT-P-52 b,HAT-P-52,2.7535953,11.309881,259.98494,1218,0.03694,0.047,5131,0.893,0.887
TOI-1753 b,TOI-1753,5.3846104,2.47852533,16.6,1005.43,0.059,0,5621,0.9715,0.9483
LHS 1815 b,LHS 1815,3.81433,1.088,8.7,617,0.0404,0,3643,0.501,0.502
